0 - 7, 9, 23, 28, 32
0 - 9, 11, 16, 21, 30
1 - 5, 20, 30, 33, 35
1 - 5, 13, 14, 28, 33
2 - 2, 3, 12, 15, 22
2 - 2, 13, 27, 30, 33
3 - 7, 20, 24, 32, 34
3 - 16, 19, 22, 25, 27
4 - 6, 17, 18, 21, 27
4 - 13, 16, 20, 26, 33
5 - 13, 23, 31, 34, 35
5 - 1, 21, 23, 29, 30
6 - 6, 8, 26, 28, 31
6 - 2, 9, 14, 20, 35
7 - 12, 13, 19, 30, 35
7 - 7, 11, 19, 31, 34
8 - 6, 8, 24, 26, 28
8 - 3, 16, 18, 34, 35
9 - 11, 20, 21, 22, 33
9 - 2, 6, 16, 25, 32
10 - 1, 2, 24, 33, 34
10 - 2, 7, 10, 11, 30
11 - 7, 16, 19, 30, 35
11 - 12, 19, 20, 24, 25
12 - 4, 8, 10, 13, 22
12 - 14, 16, 22, 23, 33
13 - 17, 22, 24, 32, 34
13 - 5, 11, 18, 33, 34
14 - 3, 9, 15, 32, 35
14 - 4, 10, 13, 15, 18
15 - 12, 14, 19, 22, 30
15 - 1, 4, 19, 28, 29
16 - 9, 19, 27, 31, 33
16 - 1, 7, 8, 21, 32
17 - 3, 5, 7, 9, 25
17 - 22, 26, 28, 29, 31
18 - 4, 13, 21, 22, 23
18 - 2, 11, 15, 32, 34
19 - 7, 12, 14, 25, 34
19 - 7, 9, 10, 28, 31
20 - 4, 6, 18, 21, 29
20 - 9, 11, 14, 18, 23
21 - 1, 20, 26, 27, 32
21 - 9, 12, 17, 23, 29
22 - 8, 20, 26, 31, 33
22 - 5, 18, 20, 28, 33
23 - 2, 3, 8, 18, 21
23 - 2, 3, 15, 26, 32
24 - 5, 14, 22, 25, 26
24 - 2, 11, 15, 20, 21
25 - 9, 13, 19, 20, 27
25 - 1, 13, 14, 16, 25
26 - 10, 19, 23, 24, 35
26 - 3, 6, 11, 26, 35
27 - 3, 9, 21, 27, 31
27 - 1, 4, 14, 24, 27
28 - 5, 8, 9, 15, 33
28 - 3, 18, 19, 26, 28
29 - 1, 4, 7, 27, 35
29 - 7, 10, 11, 16, 25
30 - 9, 12, 24, 25, 33
30 - 18, 21, 24, 25, 29
31 - 2, 4, 6, 10, 26
31 - 1, 8, 12, 19, 34
32 - 4, 6, 19, 29, 35
32 - 7, 11, 15, 25, 33
33 - 4, 11, 22, 26, 35
33 - 5, 11, 14, 27, 30
34 - 4, 7, 8, 17, 20
34 - 3, 9, 11, 22, 31
35 - 4, 12, 14, 19, 24
35 - 6, 11, 15, 24, 28
36 - 4, 9, 16, 29, 35
36 - 6, 7, 9, 19, 33
37 - 2, 20, 23, 24, 30
37 - 14, 19, 23, 25, 30
38 - 1, 22, 24, 28, 33
38 - 6, 13, 23, 31, 34
39 - 6, 9, 15, 28, 34
39 - 6, 12, 16, 27, 32
40 - 17, 21, 23, 25, 33
40 - 1, 2, 13, 18, 26
41 - 15, 17, 19, 27, 32
41 - 5, 12, 22, 29, 30
42 - 2, 16, 26, 28, 34
42 - 11, 15, 20, 22, 28
43 - 3, 10, 25, 31, 34
43 - 1, 4, 24, 28, 30
44 - 18, 23, 28, 31, 33
44 - 4, 18, 21, 23, 33
45 - 10, 20, 25, 26, 33
45 - 10, 13, 18, 23, 28
46 - 3, 9, 19, 24, 33
46 - 6, 17, 19, 30, 35
47 - 3, 14, 19, 20, 26
47 - 1, 17, 21, 26, 35
48 - 2, 3, 6, 8, 14
48 - 15, 24, 26, 27, 32
49 - 14, 17, 22, 30, 32
49 - 3, 4, 23, 28, 32
50 - 9, 16, 23, 26, 27
50 - 6, 13, 21, 33, 34
51 - 4, 10, 12, 27, 32
51 - 5, 8, 10, 16, 22
52 - 2, 7, 11, 16, 17
52 - 3, 8, 27, 28, 34
53 - 3, 7, 8, 23, 32
53 - 3, 8, 14, 17, 18
