0 - 5, 19, 35, 36, 43, 46
1 - 2, 3, 5, 12, 17, 22
2 - 5, 10, 24, 35, 42, 47
3 - 7, 8, 18, 33, 38, 40
4 - 4, 5, 11, 35, 43, 44
5 - 10, 15, 22, 25, 42, 48
6 - 2, 16, 21, 30, 46, 48
7 - 15, 20, 28, 38, 39, 40
8 - 9, 11, 32, 37, 41, 47
9 - 9, 15, 18, 22, 25, 43
10 - 2, 22, 32, 38, 39, 43
11 - 6, 10, 16, 30, 35, 37
12 - 21, 23, 25, 30, 39, 46
13 - 9, 10, 29, 35, 36, 45
14 - 2, 7, 11, 13, 17, 30
15 - 4, 5, 24, 28, 37, 49
16 - 13, 22, 29, 31, 43, 46
17 - 17, 18, 24, 29, 37, 42
18 - 12, 25, 27, 37, 39, 41
19 - 1, 3, 23, 28, 41, 43
20 - 6, 7, 9, 30, 31, 40
21 - 1, 2, 14, 18, 21, 39
22 - 4, 13, 31, 36, 44, 47
23 - 5, 6, 7, 10, 22, 42
24 - 21, 26, 28, 34, 36, 47
25 - 10, 16, 21, 22, 39, 47
26 - 12, 20, 24, 25, 37, 46
27 - 3, 5, 8, 20, 30, 32
28 - 2, 10, 13, 22, 23, 28
29 - 9, 27, 28, 31, 33, 38
30 - 20, 25, 29, 35, 42, 47
31 - 6, 15, 24, 33, 34, 38
32 - 2, 20, 23, 34, 37, 47
33 - 10, 23, 33, 36, 41, 49
34 - 10, 11, 22, 30, 41, 49
35 - 9, 25, 26, 28, 29, 34
36 - 4, 20, 33, 34, 39, 41
37 - 3, 8, 32, 40, 41, 45
38 - 11, 15, 34, 39, 41, 42
39 - 3, 26, 32, 34, 43, 48
40 - 3, 8, 24, 28, 37, 48
41 - 3, 5, 13, 15, 36, 47
42 - 2, 5, 7, 17, 19, 42
43 - 4, 20, 25, 38, 43, 44
44 - 18, 23, 26, 41, 42, 45
45 - 3, 20, 28, 29, 31, 48
46 - 5, 9, 21, 22, 30, 48
47 - 4, 16, 24, 25, 36, 38
48 - 17, 23, 26, 38, 42, 45
49 - 9, 23, 30, 32, 36, 39
50 - 2, 13, 17, 24, 30, 32
51 - 2, 3, 16, 28, 36, 37
52 - 1, 14, 20, 27, 32, 41
53 - 19, 20, 22, 24, 25, 42
54 - 5, 11, 18, 37, 39, 45
55 - 4, 11, 12, 28, 35, 43
56 - 1, 18, 28, 32, 34, 38
57 - 8, 19, 21, 30, 43, 44
58 - 9, 19, 22, 29, 42, 49
59 - 4, 7, 13, 16, 20, 43
60 - 1, 9, 10, 20, 21, 32
61 - 1, 7, 23, 44, 45, 47
62 - 6, 12, 20, 26, 31, 38
63 - 1, 6, 15, 23, 37, 41
64 - 5, 12, 13, 15, 21, 23
65 - 2, 7, 18, 27, 41, 45
66 - 3, 8, 24, 30, 31, 37
